Country,ITL,sex,extract_date,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,Bedfordshire and Hertfordshire,female,2023-11-01,9651,10771,11335,11489,11908,12186,12271,13078,12759,12972,13016,13517,13625,13559,13179,13349,12794,12372,10763,9772,9434,9639,11110,11671,12481,12743,13003,13543,13757,14418,14532,15371,15609,16094,16061,16456,16211,16349,16046,15690,15696,15629,15752,16169,15401,14309,13475,13679,13377,13536,13402,13833,14039,13579,13641,13650,13545,13529,13519,13244,12493,12593,11628,11287,10871,10346,9628,9407,9177,8674,8685,8103,8230,8134,8586,8359,9682,7805,6740,6986,6202,5788,4575,4688,4758,4392,4015,3689,3353,2908,2398,2147,1818,1434,1172,2978
England,Bedfordshire and Hertfordshire,male,2023-11-01,10203,11255,12156,12045,12544,12800,13310,13367,13438,13811,13752,14076,14182,14296,13736,14039,13510,12980,11735,11235,10699,10821,11518,12193,12491,13427,13816,13755,13734,14149,14466,15018,15701,15640,15592,16390,16151,16011,15980,15565,16046,15846,16116,16435,16274,14988,14705,14923,14432,14580,14392,14645,14794,14494,14385,14445,14081,13832,14321,13721,13271,12724,11884,11360,10821,10382,9940,9351,8558,8253,7925,7701,7352,7351,7335,7335,8260,6775,5707,5961,5147,4571,3546,3542,3500,3183,2976,2661,2183,1786,1510,1290,985,737,569,1132
England,Bedfordshire and Hertfordshire,persons,2023-11-01,19805,22001,23508,23544,24445,24999,25578,26450,26198,26778,26755,27587,27778,27870,26924,27372,26334,25372,22487,21006,20167,20456,22633,23863,24976,26191,26839,27310,27498,28587,28940,30392,31304,31798,31665,32833,32361,32368,32026,31255,31744,31475,31876,32602,31637,29299,28186,28589,27829,28121,27837,28441,28828,28131,28015,28121,27630,27284,27840,26953,25811,25328,23516,22663,21702,20730,19567,18752,17731,16919,16595,15833,15568,15456,15934,15708,17929,14578,12452,12932,11349,10354,8093,8226,8256,7571,6993,6351,5537,4687,3901,3437,2804,2171,1742,4111
England,"Berkshire, Buckinghamshire and Oxfordshire",female,2023-11-01,11695,13354,13762,13891,14400,15084,15658,16313,16313,16655,16856,17826,17963,17893,17463,17935,17327,16735,16065,15578,15100,15329,16327,17084,17755,16933,17634,17887,17940,18605,19023,20028,20314,21205,20803,21300,21252,21157,21331,20768,21107,20897,20536,21082,20132,18888,18372,18093,17860,17924,17952,18474,18650,17889,18086,17998,17854,17387,17420,17165,16910,15938,15445,14827,14354,13781,13344,12493,12019,11807,11618,11165,10988,11183,11190,11453,12604,10594,8972,9365,8610,7545,6090,6283,6145,5808,4974,4533,4204,3536,3043,2663,2230,1875,1470,3912
England,"Berkshire, Buckinghamshire and Oxfordshire",male,2023-11-01,12088,13744,14455,14782,15222,16146,16052,17197,17300,17413,18034,18876,18962,18868,18510,18690,18242,17673,17158,16480,15829,15519,16283,16821,17752,17981,18459,18316,18726,19386,19493,20329,20801,21240,21553,22049,22033,21541,21867,21319,21591,21890,21664,22417,21455,20543,19298,19569,19407,19543,19132,19311,19442,19010,18716,18764,18562,18071,18352,17945,17172,16494,15663,15216,14226,13725,13124,12291,11503,11201,10750,10427,10171,9836,9990,10161,11272,8960,7664,7917,6928,6038,5023,4949,4748,4296,3865,3416,2814,2364,1904,1580,1258,953,719,1524
England,"Berkshire, Buckinghamshire and Oxfordshire",persons,2023-11-01,23788,27080,28328,28665,29619,31228,31706,33514,33614,34044,34845,36694,36893,36771,35965,36624,35566,34441,33226,32070,30908,30844,32612,33957,35531,34917,36096,36141,36640,38031,38489,40355,41094,42389,42340,43348,43275,42701,43159,42077,42690,42771,42246,43521,41569,39386,37662,37652,37242,37526,37018,37775,38122,36894,36791,36778,36400,35436,35769,35096,34090,32463,31116,30041,28580,27501,26472,24789,23521,23015,22417,21581,21162,21050,21187,21659,23844,19538,16641,17247,15533,13576,11121,11234,10915,10083,8839,7949,7040,5900,4946,4242,3489,2856,2187,5432
England,Cheshire,female,2023-11-01,3907,4536,4618,4785,5055,5174,5350,5559,5624,5675,5717,6004,6073,5973,5715,5926,5690,5527,4994,4946,4596,4474,4754,5144,5461,5545,5864,5821,5908,6233,6354,6818,6965,7018,6947,7133,7038,6933,7151,6852,6874,6927,6764,6881,6685,6186,6050,6097,6297,6602,6850,7139,7404,7374,7696,7566,7409,7679,7799,7619,7630,7404,7032,6633,6417,6132,5870,5806,5420,5323,5412,5205,5354,5481,5277,5679,6510,5120,4358,4541,4110,3722,3143,3223,2968,2704,2606,2254,1864,1637,1378,1222,1007,786,634,1652
England,Cheshire,male,2023-11-01,4083,4713,4969,5037,5195,5437,5704,5946,5906,5986,6095,6448,6269,6363,6176,6295,6098,5878,5458,5093,4854,4820,4881,5120,5516,5595,5890,5873,6171,6378,6592,6802,7118,7136,7099,7126,7032,7054,7358,6869,7096,6891,6933,7120,6984,6235,6134,6371,6526,6703,6871,7313,7789,7480,7539,7652,7645,7664,7688,7862,7651,7404,7073,6840,6240,6077,5816,5623,5267,5179,5342,4913,4951,4950,4994,4995,5709,4461,3936,3991,3526,3036,2536,2430,2262,2115,1785,1518,1316,1045,807,703,542,416,277,643
England,Cheshire,persons,2023-11-01,7982,9221,9608,9788,10255,10608,11059,11496,11540,11663,11805,12466,12357,12336,11860,12223,11793,11405,10453,10043,9478,9310,9649,10263,10976,11143,11703,11715,12074,12608,12933,13616,14057,14196,14051,14261,14104,13952,14525,13724,13986,13820,13702,13998,13674,12427,12202,12483,12785,13307,13716,14422,15190,14843,15237,15214,15053,15308,15479,15479,15285,14804,14112,13490,12665,12232,11666,11444,10710,10491,10775,10129,10306,10432,10231,10664,12215,9595,8292,8530,7640,6766,5675,5646,5230,4834,4401,3773,3177,2708,2185,1924,1549,1202,913,2296
England,Cornwall and Isles of Scilly,female,2023-11-01,2021,2286,2383,2470,2536,2708,2756,2938,3041,3125,3273,3392,3347,3279,3199,3176,3123,3188,3037,3113,3024,3030,2863,2988,2963,3056,3055,3076,3140,3267,3386,3578,3477,3698,3539,3846,3697,3470,3666,3564,3507,3570,3627,3650,3605,3286,3284,3372,3500,3732,3865,4212,4431,4329,4368,4456,4633,4787,4701,4812,4660,4681,4424,4382,4312,4248,4130,4107,3796,3982,3992,3739,3851,3786,4020,4082,4536,3807,3139,3350,2849,2578,2144,1964,1868,1765,1558,1459,1284,1057,971,824,702,574,427,1099
