Country,Region,sex,extract_date,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95
England,East Midlands,female,2023-11-01,20830,23895,24462,24963,26226,26968,28072,29481,29694,29889,30409,31432,31336,31282,30682,30866,29837,29111,30010,30885,31361,30714,31685,32241,32698,32253,33040,33128,33208,34676,35199,36260,37228,37232,36760,36940,36838,36008,36129,34754,34786,33801,33917,34622,32959,30762,28883,30088,30272,32017,32479,34215,36363,34938,36527,36324,35805,35856,36049,36136,35071,34250,32817,31509,31131,29402,28498,27387,25907,26249,25917,25310,24881,25002,25816,26331,28998,23480,20317,21303,18890,16516,13891,13455,13100,12101,10964,9640,8611,7312,6236,5381,4406,3675,2870,7337
England,East Midlands,male,2023-11-01,21747,24767,25559,26535,27666,28617,29766,30751,31292,31419,31511,32953,33147,32585,32378,32856,31466,30992,31499,31939,32250,31847,32342,33095,33748,34554,35032,34712,35561,36307,36704,38580,38673,39077,38479,39090,37724,37230,37598,36369,36588,35411,35642,36616,34677,32020,31181,31687,32024,32899,33306,35394,37358,36054,36842,36671,36719,36107,36613,36155,35217,34300,33017,31505,30175,29042,27606,26651,25118,24750,24723,23559,23597,23224,23722,23487,26469,21260,18210,18503,16139,14120,11196,10853,10354,9125,7891,6799,5766,4646,3843,3192,2499,1826,1376,2659
England,East Midlands,persons,2023-11-01,42654,48644,50023,51471,53858,55568,57859,60172,61017,61232,61910,64392,64479,63899,63018,63667,61302,60085,61698,62935,63621,62548,63974,65309,66354,66808,68020,67802,68748,70937,71942,74802,75829,76292,75209,75979,74586,73350,73779,71129,71373,69239,69571,71276,67625,62734,60086,61796,62275,64959,65788,69609,73675,70981,73344,73081,72529,72080,72671,72264,70227,68498,65817,63076,61325,58422,56119,54119,51075,50943,50710,48882,48457,48282,49579,49852,55450,44814,38531,39846,35012,30640,25096,24268,23453,21242,18857,16444,14383,11951,10079,8574,6898,5502,4247,10006
England,East of England,female,2023-11-01,28622,32385,33818,34239,35661,37045,37878,39613,39775,39893,40382,42164,41474,41518,40891,41093,39848,38394,35564,33864,32725,32920,36519,38243,39573,40369,41409,42249,43407,45154,46136,47837,49057,50143,49877,50990,49857,49237,49011,47571,47485,46847,47315,47833,45945,42687,41082,41613,42112,42854,43310,45001,46232,45163,45783,46390,46009,46183,46282,46318,44228,43310,41204,40291,38737,37668,36084,35181,33946,33670,33374,32255,31931,32026,33364,33741,39568,32626,26817,27732,24682,22430,18142,18295,18108,16672,15111,13783,12171,10424,9008,7892,6828,5442,4430,11097
England,East of England,male,2023-11-01,29876,33838,35772,36195,37779,38862,40429,41354,41674,42209,42385,43953,44211,43446,42450,43284,42019,40801,38643,37443,35544,35612,37613,39057,40553,42569,43812,43472,44618,45968,46942,48953,49632,50912,50374,51874,51081,50268,50422,48760,49068,48473,49161,50013,48545,44847,43720,44573,43743,45262,45269,46551,48199,46316,47515,47065,46631,46888,47133,46178,44632,43554,41567,39573,38324,37092,35311,33596,31587,30954,30616,29256,29255,29062,29697,30627,34677,28182,23486,24161,20760,18863,14402,14203,13846,12842,11319,9761,8363,6889,5705,4658,3678,2904,2061,4119
England,East of England,persons,2023-11-01,58418,66263,69641,70395,73426,75932,78320,80973,81473,82138,82724,86146,85654,84915,83307,84377,81884,79171,74225,71331,68073,68515,74151,77310,80148,83009,85268,85755,88026,91026,93151,96755,98692,101047,100248,102855,100960,99520,99472,96361,96571,95349,96462,97871,94594,87523,84802,86226,85822,88163,88564,91563,94431,91476,93249,93460,92627,93014,93308,92559,88798,86849,82873,79883,77067,74757,71411,68617,65598,64645,63913,61514,61330,61110,63098,64387,74254,60933,50316,51882,45441,41311,32555,32530,31976,29524,26440,23577,20536,17332,14709,12546,10502,8359,6512,15210
England,London,female,2023-11-01,46077,51109,52700,53289,54155,55325,57118,58631,58096,57711,59227,60620,60265,59665,59698,60634,58145,56682,54646,57420,60043,64117,74546,89025,99081,102296,106297,108786,109119,108122,108618,109981,107126,108098,105436,104680,99140,96514,94919,90467,87730,86151,83922,83266,79585,74277,71042,69200,67479,66418,63697,64140,62609,63163,61623,61887,59538,59054,58185,56579,54846,51974,48531,47946,44692,42123,40111,38285,36133,34588,32874,32110,29998,29749,29310,28853,30097,26255,22393,22080,20208,19023,15895,16272,15633,14592,12900,11570,10405,8712,7516,6608,5493,4695,3537,9892
England,London,male,2023-11-01,48524,53797,54738,55184,56776,57958,59143,60830,61143,60553,61305,63459,63123,63486,61879,62411,61555,59178,57349,58226,59714,61505,67970,76412,83703,91863,97637,101430,104152,106266,107630,110362,111810,114378,113775,113643,110563,108660,108066,103642,102889,101033,98611,98135,93999,88406,84033,82193,79919,78007,74869,73888,72190,71643,68428,68409,64949,62590,61856,60449,57739,53396,49999,49110,44932,42360,39149,37095,33950,31739,29469,28256,26625,25933,24995,24320,25737,21563,17775,17764,15591,14194,11637,12024,11462,10260,8898,7861,6600,5555,4706,3880,3072,2415,1771,3838
England,London,persons,2023-11-01,94662,104780,107434,108494,110911,113303,116276,119432,119214,118101,120416,124061,123431,123117,121599,123050,119709,115862,111963,115728,119777,125604,142488,165398,182765,194151,203895,210232,213344,214533,216211,220330,218963,222393,219181,218316,209697,205115,202946,194160,190689,187184,182538,181449,173559,162685,155065,151213,147339,144470,138476,137996,134747,134769,130042,130278,124471,121907,120042,116998,112620,105424,98537,97189,89677,84442,79261,75363,70101,66300,62306,60343,56626,55592,54327,53231,55819,47845,40185,39845,35784,33197,27520,28329,27133,24902,21791,19437,17011,14281,12219,10494,8573,7123,5303,13740
England,North East,female,2023-11-01,10879,12428,12791,12911,13684,14118,14573,15216,14997,15299,15443,16299,16196,16061,15662,16163,15510,15674,16712,17232,17450,17318,17295,18044,18327,17744,18393,18398,18412,18292,18985,19547,19485,19629,19055,19658,19479,19245,19185,18344,18005,17928,18037,18126,17404,15844,14625,15770,15490,16095,16581,17879,19476,18650,18830,19041,19563,19703,20164,20054,20107,19802,19150,18389,18340,18266,17333,16589,15632,15257,15289,14509,14503,14295,14428,14727,16198,13154,11004,11057,9575,8660,7654,7891,7376,7096,6472,5466,4988,4199,3478,3140,2469,2104,1470,3627
